,Autor(es),Título,GT,Evento,Ano,Link do Arquivo
286,"Flávia Maria de Menezes, Ligia Maria Motta Lima Leão de Aquino",Onde Estão As Crianças Da Carochinha? Investigando A Produção De Conhecimento De Uma Creche Universitária,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_720.pdf
287,Marta Nidia Varella Gomes Maia,Datas Comemorativas – Uma Construção Ideológica Que Persiste Na Educação Infantil,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_25.pdf
288,Virgínia Cecília da Rocha Louzada,Cadernos Pedagógicos Para A Pré-Escola: A Educação Infantil Em Tempos De Retrocesso,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_699.pdf
289,"Vanessa Ferraz Almeida Neves, Patrícia Corsino",Produção Acadêmica Sobre Leitura E Escrita Na Educação Infantil No Período De 1973 A 2013: Algumas Reflexões,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_812.pdf
290,Cláudia Oliveira Pimenta,Avaliação Da Educação Infantil: Características De Iniciativas Municipais Paulistas,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_1122.pdf
291,Francine Costa de Bom Leandro,O Jogo Protagonizado Infantil Como Um Ato Artístico Em Sala De Aula: Uma Abordagem Vigotskiana,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_351.pdf
292,Mércia de Figueiredo Noronha Pinto,Regulação Da Política Pública De Educação Infantil Em Belo Horizonte: Reflexões Sobre A Proposta Curricular,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_1010.pdf
293,Maria Malta Campos,Balanço analítico da Educação Infantil: questões curriculares e direitos em risco,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalhoencom_38anped_2017_gt07_textomariamaltacampos.pdf
294,Márcia Maria E Silva,O Que Dizem As Pesquisas Sobre O Encontro Entre Crianças E Literatura Na Escola?,GT07 - Educação de Crianças de 0 a 6 anos,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT07_291.pdf
295,Fabiana Diniz Kurtz,Professor como Profissional ou Agente de Políticas de Mercado? O Papel das Tecnologias de Informação e Comunicação na Formação Inicial Docente sob a Perspectiva Histórico-Cultural,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_803.pdf
296,Fernanda Lahtermaher Oliveira,A Inserção Profissional Docente De Um Egresso Do Pibid: O Caso De Uma Professora De Matemática,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT08_398.pdf
297,Helena Rivelli de Oliveira,A Pesquisa Sobre Formação De Professores Para Os Usos Da Avaliação Na Educação Básica No Gt08 Da Anped No Período De 2005-2015,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_741.pdf
298,"Mara Regina Martins Jacomli, Margarida Montejano da Silva, Geisa do Socorro Cavalcanti Vaz Mendes","Em Defesa da Qualidade Social da Escola Pública: um mais um, é sempre mais que dois",GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_741.pdf
299,"Priscila Andrade Magalhães Rodrigues, Luciene Cerdas, Jussara Bueno de Queiroz Paschoalino",Aproximações E Propostas De Parceria Entre Universidade E Escola Na Formação De Professores: Uma Análise A Partir Dos Trabalhos Apresentados Nas Últimas Cinco Edições Da Anped (2010-2015),GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_1202.pdf
300,"Marilia Marques Mira, Joana Paulin Romanowski, Simone Regina Manosso Cartaxo",Processo De Inserção Profissional De Professores Da Educação Básica,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT08_167.pdf
301,"Cibele Faria Cunha, Flavia Sueli Fabiani Marcatto",Vestígios De Reflexão E Autoria Nos Portfólios Produzidos Nas/pelas Vivências Do Pibid/unifei,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_929.pdf
302,Emília Freitas de Lima,Pesquisas sobre Inserção Profissional,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_929.pdf
303,Marineide de Oliveira Gomes,O Lugar da Formação de Professores de Educação Infantil em Cursos de Pedagogia: formação menor para o trabalho com crianças pequenas?,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_87.pdf
304,Clayton da Silva Barcelos,Da Cela À Sala De Aula: A (Não)Formação De Professores Que Atuam Nos Estabelecimentos Penais De Corumbá (Ms),GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_859.pdf
305,Iria Brzezinski,Pesquisas sobre políticas de formação inicial e continuada de professores da Educação Básica,GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalhoencom_38anped_2017_gt08ii_textoiriabrzezinski.pdf
306,"Shirleide Pereira da Silva Cruz, Fernando Santos Sousa","Refletindo Sobre Gênero, Trabalho E Formação Docente: Um Olhar Para O Pedagogo Do Gênero Masculino Iniciante Na Educação Infantil",GT08 - Formação de Professores,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT08_1169.pdf
307,"Dalva de Araujo Menezes, Pura Lúcia Oliver Martins",Práticas Pedagógicas De Professores Em Comunidades Quilombolas,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT04_634.pdf
308,Maria Vitória da Silva,Representações De Professores Dos Anos Finais Do Ensino Fundamental: A Leitura E A Escrita Na Vida Cotidiano Escolar.,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_1287.pdf
309,"Andréa Maturano Longarezi, Roberto Valdés Puentes",A Didática no âmbito dos programas de PG em Educação no país,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalhoencom_38anped_2017_gt04_textoandreamaturanolongarezi.pdf
310,"Maria Angélica da Silva, Lucinalva Andrade Ataide de Almeida",Profissionalidades Reveladas No Movimento Discursivo Das Contribuições Da Didática Na Formação De Pedagogos (As),GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_831.pdf
311,Alda Junqueira Marin,Didática e políticas educacionais recentes,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/minicurso_ementa_38anped_2017_GT04.pdf
312,Luciana Ponce Bellido Giraldi,As Práticas Pedagógicas De Um Mesmo Professor: Padrões E Variações,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_785.pdf
313,Edileuza Fernandes da Silva,A didática nas perspectivas de licenciandos: da fórmula mágica à mediação entre teoria-prática,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_86.pdf
314,"Salomão Barros Ximenes, Vanessa Elias de Oliveira, Mariana Pereira da Silva",Judicialização Da Educação Infantil: Efeitos Da Interação Entre O Sistema De Justiça E A Administração,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1156.pdf
315,"Elaine Rodrigues de Ávila, Wania Regina Coutinho Gonzalez",A Aceleração De Estudos Do Projeto Autonomia Carioca: A Visão Do Docente De Uma Educação Formal Não Conveniconal (2010-2015),GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_457.pdf
316,Andrea Polena,Análise Da Redistribuição Dos Recursos Do Fundo De Manutenção E Desenvolvimento Da Educação Básica E De Valorização Dos Profissionais Da Educação - Fundeb Nos Municípios Paranaenses Nos Anos De 2007 A 2015.,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1148.pdf
317,"Hellen Jaqueline Marques, Fabiano Antonio dos Santos",A Qualidade Da Educação Como Prioridade Da Agenda Pós-2015: Mais Do Mesmo?,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1261.pdf
318,"Emilia Peixoto Vieira, Neísa Pereira dos Santos de Castro, Cândida Alves",A Educação Infantil Nos Municípios Do Território Litoral Sul Da Bahia,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1205.pdf
319,Iana Gomes de Lima,A Dispersão De Poder Como Característica Da Relação Entre Estado E Educação No Brasil,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_171.pdf
320,Aline Bettiolo dos Santos,Gestão Democrática Do Ensino Público: Retrato Da Normatização Em Sistemas Municipais De Ensino De Santa Catarina,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT05_1311.pdf
321,"Luciana Leandro da Silva, Alvaro Luiz Moreira Hypolito","Regulação Pública, Lógica Privada: Repercussões Da Prova Brasil Na Gestão E No Currículo Escolar Em Campina Grande (Pb)",GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1302.pdf
322,"Rafaela Reis Azevedo de Oliveira, Beatriz de Basto Teixeira",Judicialização Da Educação Infantil: Direito E Desafios,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_121.pdf
323,"Lucas Gabriel dos Santos Sayão, Ana Cristina da Silva Brito, Eliane de Fátima Triches",Marco Regulatório Da Política De Formulação Do Sistema De Avaliação Da Educação Da Rede Pública De Mato Grosso Do Sul – Saems,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_413.pdf
324,Ariel Feldman,Municipalização Do Ensino Fundamental No Brasil E Imaginário De Democracia (1985-1990),GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_159.pdf
325,Fabio Perboni,Tendências E Convergências Das Políticas De Bonificação Vinculadas Às Avaliações Externas E Em Larga Escala Nas Redes Estaduais De Educação,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1240.pdf
326,Denise Carreira Soares,A Execução Orçamentária Das Políticas De Diversidade Nos Governos Lula E Dilma: Obstáculos E Desafios,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1091.pdf
327,Virginia Fontes,Contradições e limites da democracia no Brasil,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_1091.pdf
328,"Efraim Lopes Soares, Maria José Pires Barros Cardozo",A Gestão Democrática Nos Sistemas Municipais De Educação Do Estado Do Maranhão,GT05 - Estado e Política Educacional,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT05_247.pdf
329,Amanda Motta Castro,“Não Queria Que Minha Filha Tivesse A Mesma Vida Que Eu”: Um Estudo Sobre Mulheres No Trabalho Artesanal,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_138.pdf
330,Iraí Maria de Campos Teixeira,"Processos Educativos Desvelados Nas Ações De Combate À Discriminação, Conscientização E Fortalecimento Da Identidade E Cultura Camponesas.",GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_905.pdf
331,"Flávio Henrique Albert Brayner, Kelma Fabiola Beltrao de Souza, Maria Helena Moura de Albuquerque","Um Certo Silêncio Bibliográfico (Sobre A ""influência"")",GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_658.pdf
332,Carmem Elisa Cantillo Garcia,"La Educación Popular,una Experiencia Vivencial De Democracia En Un Modelo De Escuela Alternativa",GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_1313.pdf
333,Reijane Salazar Costa,Processos Educativos Vivenciados Por Idosos Residentes De Um Abrigo,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_1016.pdf
334,"Luciana Cristina Godoy Zotelli, Fabiana Rodrigues de Sousa",Contribuições Da Educação Popular Para O Fortalecimento Da Luta Antiespecista,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_562.pdf
335,José Pereira Peixoto Filho,Os 50 anos do livro Educação como Prática da Liberdade. Questão problematizadora: o que é educação como prática da liberdade hoje?,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_562.pdf
336,Maria do Carmo Luiz Caldas Leite,Educação Popular Em Cuba: Trajetória E Desafios,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_353.pdf
337,"Sonia Maria Alves de Oliveira Reis, Carmem Lucia Eiterer","“Nem Tudo São Flores”: A Interface Da Educação Popular E Um Modo De Ser Mulher, Mãe E Líder Nas Comunidades Eclesiais De Base",GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_508.pdf
338,"Amancio Leandro Correa Pimentel, Antonia Solange Pinheiro Xerez",Contribuições Da Pedagogia Problematizadora Para A Contínua Reeducação Docente,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_1000.pdf
339,Maria das Graças Sousa Moreira Moura,Refletindo Sobre Uma Experiência Com Escolas Radiofônicas: Contribuições Da Educação Popular.,GT06 - Educação Popular,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT06_837.pdf
340,José Costa D'Assunção Barros,Igualdade e Diferença - uma discussão conceitual ao contraponto das desigualdades,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalhoencom_38anped_2017_gt02_textojosecostadassuncoobarros.pdf
341,Cristiane Fernanda Xavier,"Paschoal Lemme - Interdependências, Produção E Militância Em Favor Da Educação De Adultos (1930-1957)",GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_17.pdf
342,Helder de Moraes Pinto,A “Sala De Visitas” Da Casa Mineira Oitocentista E A Educação Sociocultural Da Mocidade.,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_813.pdf
343,"Crislaine Santana Cruz, Silvana Aparecida Bretas",O Método Da Igualdade: Jacotot E A Experiência Do Ensino Universal No Contexto Da Revolução Francesa,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_846.pdf
344,"Adriana Espindola Britez, Jacira Helena do Valle Pereira Assis",Ensino Secundário No Sul De Mato Grosso Sul Nas Memórias De Estudantes Secundaristas - 1920-1950,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_804.pdf
345,Gustavo da Silva Kern,As Relações Entre Eugenia E Educação No Pensamento De Renato Kehl,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_1268.pdf
346,Natalia de Lacerda Gil,Estatísticas do ensino como fonte para a História da Educação,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/minicurso_ementa_38anped_2017_GT02.pdf
347,Laís Olivato,Os Manuais De Ensino Mútuo E A Educação Das Crianças Pobres Na Argentina E No Brasil (1823-1839),GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_163.pdf
348,Rubia-Mar Nunes Pinto,Corpo E Escolarização Em Goiás (1925-1930): Os Programas De Ensino Para A Escola Primária,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_925.pdf
349,Deise Margô Müller,Feiras De Ciências Impulsionadoras Do Ensino Da Ciência E Da Matemática: Primeiros Movimentos Da Mostratec (1974-1985),GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT02_466.pdf
350,Evson Malaquias de Moraes Santos,Mitos Fundadores Da Anpae: Implicações Teórico-Políticas,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_111.pdf
351,"Rafaela Paiva Costa, Felipe Tavares de Moraes",História Da Educação Na Amazônia Brasileira: Um Balanço Historiográfico Recente,GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_309.pdf
352,Maysa Gomes,"“Queremos Educar Socialmente E Dirigir Politicamente”: Positivismo E Educação, Fins Do Século XIX",GT02 – História da Educação,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_252.pdf
353,"Monica Peregrino, Ludmila Cavalcante, Elmir de Almeida, Ana Karina Brenner",A produção do GT nos últimos 8 anos: aspectos teóricos e metodológicos,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT02_252.pdf
354,Luís Antonio Groppo,Ação coletiva e formação política na ocupação de uma universidade no sul de Minas Gerais,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_77.pdf
355,"Valdirene Manduca de Moraes, Maria Antônia de Souza","Movimentos Sociais, Governos E Universidades: A Produção Da Ledoc No Brasil","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_585.pdf
356,"Luiza Alves de Oliveira, Adriana Alves Fernandes Costa, Juaciara Barrozo Gomes","Lutas Em (Dis)Curso: Leitura, Escrita E Experiência Na Ocupação Estudantil Universitária","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_659.pdf
357,Renan Saldanha Godoi,"Jovens Do Sistema Socioeducativo: Singularidades, Percursos Biográficos E Experiências De Escolarização","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_1095.pdf
358,"Salomão Antônio Mufarrej Hage, Iranete Maria da Silva Lima, Dileno Dustan Lucas de Souza",A Escola Do Campo Na Perspectiva Dos Movimentos Sociais: Referências Para O Debate,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_734.pdf
359,Tatyanne Gomes Marques,"“Pensa Aí, Uma Negra, Pobre, Do Interior Dos Interiores Que Decidiu Estudar [...]”: Reflexões Sobre O Perfil E As Condições De Acesso Ao Ensino Superior De Jovens Mulheres Da Roça","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_479.pdf
360,"Débora Mate Mendes, Marlo dos Reis","Residência Agrária Jovem No Amapá: Articulando Ensino, Pesquisa E Extensão","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_1239.pdf
361,Veronica Filardo,Trayectos y trayectorias de jóvenes en programas de política pública. Abordajes teórico-metodológicos,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/minicurso_ementa_38anped_2017_GT03.pdf
362,Iris Menezes de Jesus,O Papel Da Escola Nas Trajetórias De Adolescentes Privados De Liberdade No Estado Do Rio De Janeiro,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT03_73.pdf
363,"Maria do Socorro da Silva Guimaraes, Sônia Maria da Silva Araújo","Por Entre Rios E Florestas: A História De Um Intelectual Orgânico Dos Movimentos Sociais Em Defesa Da Educação Na Ilha De Marajo, Pará.","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_1076.pdf
364,Maurício Perondi,"Topias, Utopias e Projeções de Futuro de Jovens Participantes de Coletivos Sociais","GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_939.pdf
365,Helio Souza de Cristo,Da Socialização Política Ao Engajamento Militante: Narrativas De Jovens Ambientalistas Do Estado Da Bahia,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_492.pdf
366,"Bárbara Bruna Moreira Ramalho, Lucia Helena Alvarez Leite, Patrícia Moulin Mendonça",Coletivos Em Situação De Pobreza E Educação Integral: Um Olhar A Partir Da Perspectiva Decolonial,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_684.pdf
367,Gisély Damasceno Furtado,O Estado e as leis como mecanismo de dominação,"GT03 - Movimentos sociais, sujeitos e processos educativos",38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT03_807.pdf
368,Camila Alberto Vicente de Oliveira,Balanço das pesquisas sobre o docente do ensino superior: estado do conhecimento nos Anais da ANPEd entre 2002 – 2015,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_997.pdf
369,Luciana Aparecida Godinho Novaes,O estado da questão sobre as práticas pedagógicas nas escolas normais brasileiras do século XX,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT04_749.pdf
370,"Rosana Aparecida Ferreira Pontes, Selma Garrido Pimenta",A pesquisa na formação inicial de professores: uma perspectiva didática inédita e viável,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/poster_38anped_2017_GT04_229.pdf
371,Orlando Fernández Aquino,Influências da pergunta na formação de conceitos científicos: um ensaio de interpretação,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_92.pdf
372,"Caroline Jaques Cubas, Karen Christine Rechia",O que faz uma aula? Didática e formação docente inicial,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_737.pdf
373,"Waleska Dayse Dias de Sousa, Andréa Maturano Longarezi",A Produção De Instrumentos Como Mediadores Da Organização Didática E Da Formação E Desenvolvimento Didático Do Professor,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_34.pdf
374,Silas Borges Monteiro,Da Espectatura À Didática: Desconstrução Da Experiência Fílmica No Ensino Superior,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_328.pdf
375,"Silvana Soares de Araujo Mesquita, Isabel Lelis",O Exercício Da Docência No Ensino Médio: A Didática Marcada Pelas Dimensões Relacionais E Motivacionais Na Prática Docente.,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_262.pdf
376,Adriana Fernandes Coimbra Marigo,Tertúlias Dialógicas Na Mediação Didática Com O Conhecimento,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_1310.pdf
377,"Isabel Magda Said Pierre Carneiro, Maria Marina Dias Cavalcante, Fátima Maria Nobre Lopes",A necessidade de uma posição teleológica voltada para a formação didático-pedagógica de rofessores bacharéis e tecnológos,GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_809.pdf
378,"Cláudia Starling Bosco, Marilza de Oliveira Santos","Resistências E Transformações No Ato De Planejar Na Relação Ensino, Pesquisa E Extensão: Análise De Narrativasde Recém-Doutores Ingressos No Magistério Superior",GT04 - Didática,38,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos/trabalho_38anped_2017_GT04_1164.pdf
379,,EDUCAÇÃO SEXUAL EM CAMPO GRANDE NOS ANOS 1930,GT02 – História da Educação,39,2017-2021,http://anais.anped.org.br/sites/default/files/5251-texto_proposta_completo.pdf
380,,Reflexões sobre Alguns Impasses na Formação Inicial de Professoras(es) para a Educação Infantil no Curso de Pedagogia,GT07 - Educação de Crianças de 0 a 6 anos,39,2017-2021,http://anais.anped.org.br/sites/default/files/gt07_trabalho_encomendado_formatado_39_rn_-_1_maria_carmem_silveira_barbosa.pdf
381,,Esse in anima: formação docente em deslocamento,GT07 - Educação de Crianças de 0 a 6 anos,39,2017-2021,http://anais.anped.org.br/sites/default/files/gt07_trabalho_encomendado_formatado_39_rn_-_2_luciana_esmeralda_ostetto.pdf
382,,"Educação Infantil e Formação de Professores: relações e contradições entre trabalho, formação e Base Nacional Comum Curricular (BNCC)",GT07 - Educação de Crianças de 0 a 6 anos,39,2017-2021,http://anais.anped.org.br/sites/default/files/gt07_trabalho_encomendado_formatado_39_rn_-_3_ivone_garcia_barbosa.pdf
383,,Crises do Capital e o recrudescimento do conservadorismo à luz do materialismo histórico,GT09 - Trabalho e Educação,39,2017-2021,http://anais.anped.org.br/sites/default/files/gt09_trabalho_encomendado_formatado_39rn.pdf
384,,“ENTROU... E AGORA?” UMA REFLEXÃO SOBRE ATENDIMENTO EDUCACIONAL ESPECIALIZADO (AEE) PARA ESTUDANTES COM DEFICIÊNCIA COMO DISPOSITIVO DE PERMANÊNCIA EM UNIVERSIDADES PÚBLICAS FEDERAIS,,39,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos_0_0.
385,,“TEMAS ATUAIS PARA A EDUCAÇÃO INFANTIL”,,39,2017-2021,http://anais.anped.org.br/sites/default/files/arquivos_1_13.
